CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,21869752.28,3086806,29215667,,13218780,,71828,35670986,3134770,85247,18517000,7971116,7838000,291059,607423,133147667,255288,10117000,10181000,230000,6085490,61872.04005,518131,7815308,3365555,1624712,166869168,,310491,8312068,10702998,6266105,11731187,14773789,29987200,414993,35900,3503638,7596841,14840234,1230075000,37782390,507163.3605,2882589,,3658043,15933410,4572000,10993809,753722,10304100,22238115,47345519,5284220,663118,72042,8409983,11794811,66312818,5837469,482366,3326784,1400000,60402030,783156,5139835,59909141,1145857,1169332,4531600,82071000,18157031,28728,10777000,100920,10473834,7888284,1220326,758564,8174788,,5848074,6489300,10290486,272000,965428183.1,197013740,60800910.25,22932428.93,3674300,5836000,56893800,2534068.675,126091000,4459121.395,15333703.04,29064655,79725,1980000,4725000,5055546,2450000,3625875,1790692,2227448,5031470,31720,3580000,419450,422989,13953183,10319125,21669475,258528,10371338,383000,50954.43418,2396629,1148284,93926296,107947,31226,2306139,643509,,27732580,16888168,45043447,1702108,,22728453,15607000,,3781400,4849265,9956361,116026774,,4404100,2273798,128457310.8,18061,2706518,2782593,4970756,5021254,24787466,73039103,38650000,10089000,551277,45954000,3659655,22554000,147304000,6150852,40740,149666,107948,171849,,132761,19210676.65,9141623,7649630.752,77319,4009756,3796000,5383233,1985956,382728,6782620,40926063.04,39582400,18373340,31733750,448017,1016421,8849437,7088000,15333748,5940626,61022597,1982994,842341,4736206,,97873,1278582,9215000,63331833,4329519,16222,9298,22288245,50594105.02,2730920,58316955,31644436,272657000,3256181.753,23667000,174921,22959000,75460000,16638608,9418120,12091779,,,,56000,,,3759430,73561,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,2.580870138,-0.616534123,1.572388518,,2.53585822,,2.623637751,1.265247315,-1.185567673,2.57368894,1.11872569,0.077183342,0.961484235,1.678970689,2.413051826,1.924026594,-0.576116082,-0.424126493,0.236011517,3.540192705,2.988343849,0.139222566,1.472581943,2.139271367,1.795612681,2.300446195,1.525726944,,2.533671948,-0.527140899,2.765681941,0.705358642,2.348779571,2.457361161,1.057015395,2.014158202,4.658368658,2.442625354,3.198036218,1.419260563,1.023450024,1.770841487,2.111400782,1.65118236,,2.522021958,3.027900848,1.720757217,0.354006572,1.491588419,-0.105727224,1.127747731,2.432256895,0.42138383,3.280088175,-0.195527883,1.701544169,1.612524825,1.8832373,0.855628915,3.215123105,2.163746737,-1.136375865,2.850712938,0.924382475,0.289045276,0.398320896,2.688057384,3.729319694,-1.847511473,0.193922602,2.532426026,-0.083507312,0.63297242,0.257962242,2.276389609,2.461501951,2.211811418,-0.090919998,1.951145235,,2.225686401,0.832512855,-0.201458936,0.73801073,1.741705622,1.405564542,1.527315581,3.02184636,1.005226022,2.498395043,0.054502334,0.957393822,0.262058819,3.052920503,-1.579965566,2.724865494,1.62237147,4.440584994,1.449609695,2.475566909,-1.659621172,1.632167248,1.905750598,8.147305643,2.004465345,1.211597808,-0.695897032,1.253502484,1.285326816,3.071817096,2.437818527,2.541626753,2.010577387,2.72283984,0.786373646,-0.044692336,2.731245594,1.25209761,1.453715098,0.039842299,0.994488669,0.914390508,1.586387614,,1.404212737,2.742715342,1.316527781,2.460720744,,2.484936124,0.578333446,,1.315002845,1.928939463,3.417831135,2.455818929,,0.52589164,2.151803189,2.400945246,2.58560154,4.477873278,2.007441795,2.709615978,2.206264318,1.709991028,2.133276493,0.082828601,0.33756982,2.525841386,0.937927054,-0.220896907,-0.239139213,-0.294872487,8.314339531,-0.318588678,1.755187815,-0.065750788,1.068246223,,1.84271153,2.505869479,2.698814505,-0.771529934,1.173453648,0.487951334,3.356550117,0.17551324,-0.253661479,2.793351163,2.359022116,2.288147026,0.263722072,0.759763612,2.568306866,1.379508918,2.423613925,0.072765558,0.197712252,2.378506485,1.394174156,0.660806673,0.490917067,-1.173019096,3.464586952,,0.193294087,0.515804179,1.37346936,1.699013324,1.510899844,2.401937114,0.366340244,3.057057792,-0.911128913,5.851837166,0.257555038,2.629455239,1.203960297,0.635664767,1.885238808,1.810239104,2.010582235,1.549176281,3.284650786,2.757852897,1.502072461,,,,0.178731057,,,0.929312007,1.225515591,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,8.004,2.5,3.012,,6.963,,1.7,2.657,1.838,2.017,1.778,1.36,2.07,2.423,2.815,3.354,1.507,1.23,1.6,3.905,6.2,,4.365,4.39,1.507,3.746,2.451,,2.737,1.09,6.432,6.121,4.576,5.175,1.55,4.173,,5.55,6.629,2.253,1.803,2.775,4.538,4.912,,2.617,5.371,1.69,1.61,1.977,1.17,2.124,7.068,1.752,5.196,1.9,3.014,3.113,3.492,3.323,5.872,5.713,1.24,6.555,3.211,1.75,1.726,4.472,5.833,1.756,1.35,4.91,,1.31,2.87,5.058,6.232,5.909,2.5,4.665,,4.366,1.127,1.38,2.04,3.503,2.579,2.636,5.433,1.92,,1.22,2.682,1.388,4.39,2,5.097,4.2,2.659,2.79,5.277,1.11,2.711,4.394,6.215333333,3.433,,1.47,1.71,1.145,5.843,6.469,3.13,3.635,6.74,1.95,,5.331,2.04,2.755183741,4.544,,2.49,1.827,,3.024,5.88,2.681,4.351,,4.425,1.53,,1.95,3.702,7.626,6.092,,1.86,5.238,5.039,2.3303,6.102,2.786,4.631,3.921,3.142,3.763,1.513,1.46,3.458,1.54,1.73,1.32,1.23,5.918,2.4,2.6,2.576,4.538,,4.826,4.701,5.958,1.6,2.1,5.44,1.635,1.43,1.25,4.966,6.492,2.983,1.15,2.2,5.459,2.745,4.57,1.52,1.48,4.074,4.348,1.875,1.83,6.832,5.446,,4.227,1.745,2.38,2.597,3.159,,,6.963,1.3,3.059,1.72,5.78,1.971,2.4,3.082,4.616,2.98,2.585,6.832,6.2,4.118,,,,2.683,,,1.9,1.74375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,1,1,1,2,1,0,1,1,4,2,2,1,2,1,3,3,4,2,2,2,3,1,3,2,1,0,1,1,1,0,4,1,1,0,3,4,4,2,3,0,0,1,1,1,1,1,2,2,3,1,1,1,1,1,2,1,0,1,1,4,2,2,1,2,1,3,3,4,2,2,2,3,1,3,2,1,0,1,1,1,0,4,1,1,0,3,4,4,2,3,0,0,1,1,1,1,1,2,2,3,1,1,1,1,1,2,1,0,1,1,4,2,2,1,2,1,3,3,4,2,2,2,3,1,3,2,1,0,1,1,1,0,4,1,1,0,3,4,4,2,3,0,0,1,1,1,1,1,2,2,3,1,1,1,1,1,2,1,0,1,1,4,2,2,1,2,1,3,3,4,2,2,2,3,1,3,2,1,0,1,1,1,0,4,1,1,0,3,4,4,2,3,0,0,1,1,1,1,1,2,2,3,1,1,1,1,1,2,1,0,1,1,4,2,2,1.74375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,21312543.72,3105896,28759876,,12887785,,69968,35222503,3172156,83081,18311000,7964966,7763000,286213,592941,130610358,256763,10160000,10157000,222000,5906325,61785.96015,510557,7649893,3305662,1587763,164342524,,302723,8356000,10411043,6222062,11458858,14415168,29671900,406718,34266,3419094,7357735,14631100,1217550000,37119213,496567.3649,2835383,,3566940,15458193,4494000,10954959,742563,10315000,21988734,46207846,5262000,641720,72183,8268094,11606142,65075676,5787735,467104,3255574,1416000,58704453,775950,5125000,59670985,1115466,1126527,4616100,81912000,17702991,28752,10709000,100660,10238102,7696484,1193631,759254,8016832,,5719352,6435500,10311238,270000,948758852.9,194263955,59879344,22249811.92,3637550,5692000,56862800,2509923.425,125761000,4325045,15577894.26,28283375,78442,1894000,4657000,4931929,2491000,3567175,1756889,2053167,4931620,31338,3605000,414225,417587,13531083,10070605,21125658,253382,10092753,380000,50977.212,2332057,1133996,92570752,107904,30917,2285148,633381,,27345877,16431268,44454324,1660735,,22170625,15517000,,3732000,4756622,9621819,113212070,,4381000,2225393,125409851.4,17600,2587996.968,2727291,4837876,4911685,24367206,71497479,38618000,10055000,537527,45525000,3667748,22608000,147739000,5660132,40870,147062,108019,170023,,130337,18735263.66,8898207,7708878.205,76417,3990238,3670700,5373793,1991000,372185,6624489,40000246.95,39478150,18234275,30929107,441879,992083,8843000,7074000,14973337,5858378,60620685,1973283,852280,4574926,,97684,1272004,9089300,62264906,4264596,15837,9264,21617190,51057188.98,2575697,58166950,30823204,269394000,3235549,23225000,171783,22502000,74300000,16100966,9161931,11911509,,,,55900,,,3724655,72665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,2.580870138,-0.893100186,1.734663581,,2.742572899,,2.62094553,1.28815894,-1.595355419,3.341149787,1.313819299,0.149503424,1.009848043,1.752433587,2.60557763,1.951316046,-0.476734404,-0.334086977,0.199075645,2.508683443,3.147824848,0.139222566,0.365366381,2.189993415,-0.797288257,2.414730835,1.529418667,,2.597166148,-0.525186215,2.764022151,0.889162367,2.560011071,2.534525808,1.077164681,2.117070159,4.88755294,2.504956177,3.175441976,1.522560224,1.048141514,1.794606292,2.111400782,1.886423865,,2.506581017,3.136616824,-3.820174223,0.410133993,1.502143159,-0.154993734,1.24156199,2.824466431,0.648238686,2.832547347,-1.125488004,1.762260387,1.732792796,1.889369981,1.03152379,3.289851259,1.531086374,-1.472161183,2.976425614,1.038168878,0.332258685,0.398801665,2.820207518,3.766269279,-2.522031834,0.330166484,2.618445598,0.059143808,0.702809434,0.492967511,2.286607909,2.874059057,2.343026806,0.052828952,1.966449,,2.323460773,4.438607795,-0.171771609,0.743497849,1.762873069,1.432299498,1.557412545,3.02184636,0.792121607,2.616505943,0.029373251,1.199368458,0.256369567,3.052920503,-1.514558831,2.837610388,1.519608435,4.979383558,1.451322666,2.531339406,-0.958856727,2.165935847,1.790780975,5.424233195,1.995953328,1.24261099,-0.746169,1.361143941,1.404010755,3.074720832,1.876926125,2.549088023,2.211485476,2.693735781,0.52770571,-0.044692336,2.716913677,1.022764541,1.552159364,0.623790585,0.98161095,0.672497255,1.534814138,,1.456002188,3.00130846,1.337461196,2.47063566,,2.494202322,0.368015394,,1.582661927,2.064076626,3.382260707,2.470591272,,0.480495147,2.436293866,2.44974716,2.153708514,4.477873278,2.021998558,2.692609952,2.262246392,1.75507208,2.166638727,0.078750768,0.278856868,2.21798057,0.953460179,-0.200222133,-0.322374366,-0.27173195,3.958708974,-0.317576913,1.111126341,-0.036098243,1.027475135,,1.860108147,2.505869479,2.714592776,-0.389807019,1.467193026,0.042738412,4.064379734,0.188442975,0.050238635,2.815022693,1.579227147,2.225178277,0.231154168,0.847928739,2.580646642,1.375859101,2.330792656,0.135792711,0.467588525,2.45410413,1.425365453,0.796006275,0.497820686,-0.062987621,3.173370788,,0.313746656,0.581955552,1.460672733,1.715111908,1.826361471,3.279824196,0.400195223,3.117888717,-0.887422999,5.759825446,0.254626384,2.801081001,1.16341162,0.537859798,1.912685998,2.070382087,2.060910297,1.792552072,3.655911639,2.682200614,1.677577325,,,,0.179051077,,,1.121862669,0.979111969,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,8.043,2.577,3.214,,6.997,,,2.717,1.938,2.055,1.796,1.42,2.06,2.475,2.913,3.473,1.521,1.31,1.55,4.008,6.282,,4.589,4.482,1.518,3.866,2.474,,2.823,1.24,6.495,6.213,4.815,5.273,1.592,4.33,,5.573,6.632,2.32,1.827,2.823,4.633,4.959,,2.684,5.469,1.67,1.609,2.068,1.185,2.176,7.102,1.747,5.339,,3.069,3.167,3.554,3.432,5.888,5.803,1.335,6.675,3.247,1.76,1.733,4.625,5.889,1.815,1.3,4.997,,1.3,2.988,5.148,6.313,5.914,2.509,4.779,,4.493,1.191,1.46,2.12,3.583,2.635,2.86,5.54,1.91,2.9,1.21,2.713,1.425,4.562,,5.163,,2.762,2.99,5.452,1.16,2.797,4.475,6.230666667,3.538,,1.49,1.76,1.227,5.925,6.537,3.193,3.976,6.72,2.1,,5.411,2.12,2.859941429,4.608,,2.663,1.821,,3.151,5.937,2.753,4.469,,4.554,1.53,,1.96,3.878,7.666,6.171,,1.89,5.508,5.169,,6.193,2.797,4.654,4.005,3.226,3.847,1.58,1.43,3.589,1.58,1.801,1.3,1.277,5.937,,2.5,2.641,4.562,,4.902,4.869,6.083,,,5.454,1.696,1.47,1.28,5.09,6.487,3.04,1.15,2.229,5.552,2.718,4.712,1.6,1.5,4.204,4.463,1.905,1.885,6.627,5.565,,4.274,1.801,2.51,2.667,3.325,,,6.994,1.3,3.213,1.72,5.828,1.976,,3.32,4.667,,2.715,7.027,6.213,4.235,,,,2.49,,,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,1,1,1,2,1,0,1,1,4,2,2,1,2,1,3,3,4,2,2,2,3,1,3,2,1,0,1,1,1,0,4,1,1,0,3,4,4,2,3,0,0,1,1,1,1,1,2,2,3,1,1,1,1,1,2,1,0,1,1,4,2,2,1,2,1,3,3,4,2,2,2,3,1,3,2,1,0,1,1,1,0,4,1,1,0,3,4,4,2,3,0,0,1,1,1,1,1,2,2,3,1,1,1,1,1,2,1,0,1,1,4,2,2,1,2,1,3,3,4,2,2,2,3,1,3,2,1,0,1,1,1,0,4,1,1,0,3,4,4,2,3,0,0,1,1,1,1,1,2,2,3,1,1,1,1,1,2,1,0,1,1,4,2,2,1,2,1,3,3,4,2,2,2,3,1,3,2,1,0,1,1,1,0,4,1,1,0,3,4,4,2,3,0,0,1,1,1,1,1,2,2,3,1,1,1,1,1,2,1,0,1,1,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,20769532,3133759,28265291,,12539131,,68158,34771691,3223169,80351,18072000,7953067,7685000,281241,577691,128086442,257990,10194000,10136800,216500,5723300,61700,508695,7484182,3332123,1549882,161848162,,294962,8400000,10127220,6166983,11169233,14054403,29354000,398198,32631.5,3334511,7127765,14410020,1204855000,36459011,486192.748,2782397,,3478643,14980854,4669000,10910121,731492,10331000,21717418,44920980,5228000,623798,73000,8123665,11406764,63857698,5728340,451987,3206108,1437000,56982906,767936,5108000,59433490,1084447,1084888,4734000,81642000,17245464,28735,10634000,100165,10006653,7478431,1165989,758853,7860725,,5587997,6156100,10328965,268000,932180000,191501345,58954000,21587514,3608850,5545000,56846100,2480000,125439000,4195000,15815626.38,27492083,77259,1802000,4589900,4808652,2515000,3490743,1725707,1944765,4834163,30951,3632000,408625,411765,13121371,9883350,20593952,247840,9824510,378000,51000,2269550,1122457,91145000,107233,30615,2269832,623734,,26950605,15945442,43863723,1620207,,21624484,15460000,,3673400,4659448,9301826,110449331,,4360000,2171831,122374952.6,17225,2474666.086,2672699,4709349,4801818,23943275,69965048,38587600,10027000,525736,45093000,3675099,22681000,148141000,5440441,41000,145437,108058,168285,,127935,18271615.87,8659906,7738986.598,75304,3988533,3524500,5363676,1990000,361854,6520695,39120000,39387000,18080315,30141147,435841,969227,8831000,7041000,14610348,5775467,60140056,1963484,852817,4432026,,97378,1264623,8957500,61206099,4187416,15326,9227,20953589,51512298.61,2431533,58019030,29971801,266278000,3218193,22785000,168263,22043000,72980000,15522959,8919456,11713351,,,,55800,,,3683103,71957,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,2.236717159,-1.234719642,1.926751897,,3.024563668,,2.644779797,1.306746613,-2.068999088,4.370362165,1.208019812,0.306275096,1.151694447,1.836553439,2.832584082,1.975359911,-0.357899803,-0.323196991,0.20935798,2.573241397,3.362636853,0.650408797,-0.955329376,2.246162921,-3.825703769,2.528534946,1.525090422,,2.660502518,-0.415801015,2.775742349,1.135794893,2.788613264,2.62082201,0.828157791,2.233457195,4.086157873,2.576858881,3.143742898,1.638038773,1.086509151,1.8169663,2.111400782,2.182869581,,2.465726897,3.250406775,0.407769639,0.459895909,1.514642024,-0.048386317,1.366140332,3.330808768,0.44090937,2.150735526,0.766348595,1.82953535,1.864181326,1.887303506,1.233392714,3.391475019,0.79026818,-1.793151494,3.124444671,1.199056233,0.372659056,0.402722972,2.96453939,3.786186511,-2.659709075,0.154451544,2.721325016,0.247391196,0.764623539,0.829064963,2.306059672,3.382643732,2.512806741,0.240255808,1.977267122,,2.434789731,1.980132777,-0.139220004,0.749067173,1.784040516,1.460519596,1.607866499,2.659212076,1.062750704,2.668286957,0.002550779,0.809637501,0.381789601,3.250355002,-1.752256205,2.972237871,1.380195115,,1.093122529,2.574740384,-1.303593416,2.848205849,1.637244135,1.662633638,1.998758231,1.271334449,-0.713308923,1.404742464,1.538618019,3.070231809,1.131358722,2.533161348,2.434990986,2.685008136,1.068455494,1.976916693,2.698913845,0.846096026,1.770172295,1.321725068,0.95176301,0.357448635,1.42903633,,1.510071427,3.374587775,1.35045267,2.434773158,,2.495545918,0.511441469,,1.461601395,2.220745776,3.346315027,2.484752978,,0.538142641,2.781544024,2.459504686,2.832183176,4.477873278,2.03481873,2.666536036,2.320408208,1.797477051,2.199012318,0.114091327,0.289638155,2.047501575,1.429457257,-0.51298107,-0.220206202,-0.131544793,-1.915028678,-0.450870527,1.907556644,-0.002776248,0.960116283,,1.866691416,2.505869479,2.729447826,0.05619051,1.848743816,-0.444587602,3.039047157,0.305780029,0.055291665,2.840825422,0.620227767,2.162209528,0.233980073,0.942302113,2.601706533,1.353647627,2.147262905,0.571212737,0.66975669,2.563356663,1.440671219,0.963491797,0.490637786,1.313677638,2.775488807,,0.445650506,0.667957881,1.599097818,1.728248053,2.206074255,4.599816305,0.423568377,3.191593132,-0.790354088,5.564323495,0.264547417,3.01995115,1.190787091,0.738693655,1.806877907,2.411422132,2.10891234,1.798420624,4.125052698,2.576298422,1.846800978,,,,0.539084863,,,0.923749876,0.635728277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,8.058,2.645,3.446,,7.03,,,2.774,2.053,2.091,1.822,1.4,2.29,2.518,3.026,3.601,1.538,1.386,1.57,4.108,6.364,1.8,4.821,4.575,1.524,3.989,2.502,,2.905,1.23,6.558,6.294,5.043,5.384,1.639,4.491,,5.596,6.636,2.388,1.866,2.872,4.742,5.018,,2.756,5.581,1.58,1.614,2.158,1.278,2.226,7.125,1.807,5.486,2.14,3.13,3.226,3.634,3.529,5.897,5.889,1.32,6.784,3.279,1.81,1.713,4.774,5.938,1.88,1.25,5.089,,1.32,3.115,5.237,6.393,5.916,2.518,4.889,,4.617,1.295,1.57,2.08,3.664,2.699,3.128,5.632,1.87,2.9,1.18,2.745,1.422,4.73,2.26,5.251,4.5,2.873,3.31,5.592,1.25,2.868,4.548,6.246,3.666,,1.55,1.68,1.314,5.999,6.603,3.265,4.336,6.7,1.83,,5.491,2.14,2.954278585,4.664,,2.866,1.815,,3.286,5.992,2.836,4.59,,4.674,1.53,,1.99,4.055,7.703,6.249,,1.87,5.76,5.307,2.8605,6.276,2.812,4.671,4.09,3.317,3.932,1.61,1.38,3.727,1.65,1.882,1.343,1.34,5.98,2.48,2.9,2.703,4.594,,4.976,5.036,6.207,1.7,2.3384,5.467,1.71,1.52,1.29,5.216,6.486,3.11,1.18,2.274,5.636,2.684,4.867,1.73,1.47,4.361,4.581,1.939,1.937,6.384,5.686,,4.333,1.87,2.67,2.735,3.512,,,7.02,1.4,3.386,1.71,5.883,1.978,2.6,3.596,4.716,3.104,2.864,7.223,6.231,4.369,,,,2.53,,,2,1.78125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,3,3,4,2,1,1,1,2,3,1,2,4,1,4,4,2,4,4,2,4,2,3,3,3,1,3,1,3,2,4,4,1,1,4,1,3,4,0,2,2,1,1,1,4,2,4,1,2,3,3,1,3,3,4,2,1,1,1,2,3,1,2,4,1,4,4,2,4,4,2,4,2,3,3,3,1,3,1,3,2,4,4,1,1,4,1,3,4,0,2,2,1,1,1,4,2,4,1,2,3,3,1,3,3,4,2,1,1,1,2,3,1,2,4,1,4,4,2,4,4,2,4,2,3,3,3,1,3,1,3,2,4,4,1,1,4,1,3,4,0,2,2,1,1,1,4,2,4,1,2,3,3,1,3,3,4,2,1,1,1,2,3,1,2,4,1,4,4,2,4,4,2,4,2,3,3,3,1,3,1,3,2,4,4,1,1,4,1,3,4,0,2,2,1,1,1,4,2,4,1,2,3,3,1,3,3,4,2,1,1,1,2,3,1,2,1.78125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,20310133.19,3172692,27725902,,12165555,,66379,34320269,3290551,76915,17855000,7928746,7597000,276123,561557,125581100,258915,10227000,10115600,211000,5534046,61300,513578,7317949,3462070,1511184,159398558,,287218,8435000,9849980,6097335,10862069,13690847,29111906.4,389403,31325,3249683,6907172,14175901,1191835000,35802545,476034.8845,2722319,,3393918,14501744,4650000,10860061,720496,10336000,21422745,43449392,5205000,610525,72442.70367,7976391,11196091,62663811,5658121,436915,3180871,1463000,55230033,758783,5089000,59194619,1052770,1044580,4861600,81516000,16782487,28664,10553000,99338,9778534,7229693,1137055,757032,7706824,,5453584,6035400,10343355,266000,915697000,188724756,58013678.2,21021021.72,3570700,5399000,56844650,2460002.055,124961000,4060839.761,16095198.94,26686977,76200,,4540000,4686422,2548000,3392722,1697683,1912698,4738499,30560,3658000,402925,405478,12724636,9772164,20078826,241878,9564231,373982.7378,50001.67305,2209116,1113000,89545772.76,105825,30325,2261733,614884,,26546689,15416327,43275346,1581235,,21091513,15381133,,3620100,4557114,8995708,107738753,,4336600,2112253,119401846.6,16744,2366298.073,2618864,4585432,4691679,23516745,68443301,38543600,9998000,515081,44453000,3694000,22731000,148336000,5545631,41185.27428,142689,108061,166677,,125569,17819442.13,8426735,7734639.243,73924.61192,4006305,3419000,5347300,1988900,351719,6480377,38283222.67,39294950,17910744,29367076,429981,948637,8780700,6994000,14240592,5692858,59563394,1953874,841687,4310707,,96945,1256204,8815400,60157394,4096050,14637,9188,20295395,51921041.29,2299930,57865745,29080198,263126000,3194508,22377000,164254,21583000,71679244.22,14895656,8692599,11499014,,,,55500,,,3649237,71501,,,,,,,,,,,,,,,,,,,,,,,,,,,,
